"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 05 22:06:38 GMT 2024","Thu Dec 05 22:06:39 GMT 2024","1197","Surefire suite","Surefire test","org.example.teamcitytesting.api.BuildTypeTest","org.example.teamcitytesting.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Dec 05 22:06:40 GMT 2024","Thu Dec 05 22:06:40 GMT 2024","456","Surefire suite","Surefire test","org.example.teamcitytesting.api.BuildTypeTest","org.example.teamcitytesting.api.BuildTypeTest","userCreatesTwoBuildTypeWithTheSameIdTest","User should not be able to create two build typees with the same id",""
"passed","Thu Dec 05 22:06:39 GMT 2024","Thu Dec 05 22:06:40 GMT 2024","470","Surefire suite","Surefire test","org.example.teamcitytesting.api.BuildTypeTest","org.example.teamcitytesting.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create a build",""
"passed","Thu Dec 05 22:06:35 GMT 2024","Thu Dec 05 22:06:37 GMT 2024","2139","Surefire suite","Surefire test","org.example.teamcitytesting.api.BuildTypeTest","org.example.teamcitytesting.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Dec 05 22:05:32 GMT 2024","Thu Dec 05 22:06:22 GMT 2024","49666","Surefire suite","Surefire test","org.example.teamcitytesting.ui.SetupServerTest","org.example.teamcitytesting.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
