"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 00:21:54 GMT 2024","Fri Nov 29 00:21:56 GMT 2024","1275","Surefire suite","Surefire test","org.example.teamcitytesting.api.BuildTypeTest","org.example.teamcitytesting.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Fri Nov 29 00:21:52 GMT 2024","Fri Nov 29 00:21:54 GMT 2024","2198","Surefire suite","Surefire test","org.example.teamcitytesting.api.BuildTypeTest","org.example.teamcitytesting.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Fri Nov 29 00:21:56 GMT 2024","Fri Nov 29 00:21:57 GMT 2024","462","Surefire suite","Surefire test","org.example.teamcitytesting.api.BuildTypeTest","org.example.teamcitytesting.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create a build",""
"passed","Fri Nov 29 00:20:49 GMT 2024","Fri Nov 29 00:21:39 GMT 2024","49679","Surefire suite","Surefire test","org.example.teamcitytesting.ui.SetupServerTest","org.example.teamcitytesting.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Nov 29 00:21:57 GMT 2024","Fri Nov 29 00:21:57 GMT 2024","393","Surefire suite","Surefire test","org.example.teamcitytesting.api.BuildTypeTest","org.example.teamcitytesting.api.BuildTypeTest","userCreatesTwoBuildTypeWithTheSameIdTest","User should not be able to create two build typees with the same id",""
