"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 05 22:08:19 GMT 2024","Thu Dec 05 22:08:33 GMT 2024","14135","Surefire suite","Surefire test","org.example.teamcitytesting.ui.CreateProjectTest","org.example.teamcitytesting.ui.CreateProjectTest","userSearchesProject","user can find created project",""
"passed","Thu Dec 05 22:07:47 GMT 2024","Thu Dec 05 22:08:03 GMT 2024","16318","Surefire suite","Surefire test","org.example.teamcitytesting.ui.CreateProjectTest","org.example.teamcitytesting.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Dec 05 22:06:41 GMT 2024","Thu Dec 05 22:07:47 GMT 2024","65228","Surefire suite","Surefire test","org.example.teamcitytesting.ui.CreateProjectTest","org.example.teamcitytesting.ui.CreateProjectTest","userCreatesBuild","user can run build and see the output",""
"passed","Thu Dec 05 22:08:03 GMT 2024","Thu Dec 05 22:08:19 GMT 2024","15310","Surefire suite","Surefire test","org.example.teamcitytesting.ui.CreateProjectTest","org.example.teamcitytesting.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Dec 05 22:05:39 GMT 2024","Thu Dec 05 22:06:31 GMT 2024","51917","Surefire suite","Surefire test","org.example.teamcitytesting.ui.SetupServerTest","org.example.teamcitytesting.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
